Android application is debugging.
02-03 11:00:55.583 D/Mono    (18934): Assembly Loader loaded assembly from location: '/storage/emulated/0/Android/data/UnaPantalla.Droid/files/.__override__/Xamarin.Android.Support.v4.dll'.
02-03 11:00:55.583 D/Mono    (18934): Config attempting to parse: '/storage/emulated/0/Android/data/UnaPantalla.Droid/files/.__override__/Xamarin.Android.Support.v4.dll.config'.
02-03 11:00:55.583 D/Mono    (18934): Config attempting to parse: '/Users/builder/data/lanes/2512/d3008455/source/monodroid/builds/install/mono-armv7/etc/mono/assemblies/Xamarin.Android.Support.v4/Xamarin.Android.Support.v4.config'.
02-03 11:00:55.583 D/Mono    (18934): Assembly Loader probing location: '/storage/emulated/0/Android/data/UnaPantalla.Droid/files/.__override__/Xamarin.Forms.Core.dll'.
02-03 11:00:55.603 D/Mono    (18934): Image addref Xamarin.Forms.Core[0x65bdf9c0] -> /storage/emulated/0/Android/data/UnaPantalla.Droid/files/.__override__/Xamarin.Forms.Core.dll[0x65bdecf0]: 2
02-03 11:00:55.603 D/Mono    (18934): Assembly Xamarin.Forms.Core[0x65bdf9c0] added to domain RootDomain, ref_count=1
02-03 11:00:55.603 D/Mono    (18934): AOT module '/storage/emulated/0/Android/data/UnaPantalla.Droid/files/.__override__/Xamarin.Forms.Core.dll.so' not found: dlopen failed: library "/data/app-lib/UnaPantalla.Droid-2/libaot-Xamarin.Forms.Core.dll.so" not found
02-03 11:00:55.603 D/Mono    (18934): AOT module '/Users/builder/data/lanes/2512/d3008455/source/monodroid/builds/install/mono-armv7/lib/mono/aot-cache/arm/Xamarin.Forms.Core.dll.so' not found: dlopen failed: library "/data/app-lib/UnaPantalla.Droid-2/libaot-Xamarin.Forms.Core.dll.so" not found
02-03 11:00:55.613 D/Mono    (18934): Assembly Loader loaded assembly from location: '/storage/emulated/0/Android/data/UnaPantalla.Droid/files/.__override__/Xamarin.Forms.Core.dll'.
02-03 11:00:55.613 D/Mono    (18934): Config attempting to parse: '/storage/emulated/0/Android/data/UnaPantalla.Droid/files/.__override__/Xamarin.Forms.Core.dll.config'.
02-03 11:00:55.613 D/Mono    (18934): Config attempting to parse: '/Users/builder/data/lanes/2512/d3008455/source/monodroid/builds/install/mono-armv7/etc/mono/assemblies/Xamarin.Forms.Core/Xamarin.Forms.Core.config'.
02-03 11:00:55.613 D/Mono    (18934): Assembly Loader probing location: '/storage/emulated/0/Android/data/UnaPantalla.Droid/files/.__override__/Xamarin.Forms.Platform.Android.dll'.
